MetadataType,ComponentName,Namespace,LastModifiedDate
ReportType,screen_flows_prebuilt_crt,,2025-04-09T09:39:34.000Z
ReportType,Program_Task_Progress_sfdcSESv60,,2025-04-09T09:39:34.000Z
ReportType,flow_orchestration_work_item_ootb_crt_two_four_eight,,2025-04-09T09:39:34.000Z
ReportType,Program_Definition_sfdcSESv61,,2025-04-09T09:39:34.000Z
ReportType,Bot_Sessions_v6,,2025-04-09T10:33:12.000Z
ReportType,Program_Progress_sfdcSESv60,,2025-04-09T09:39:34.000Z
Layout,PaymentGroup-Payment Group Layout,,2025-04-09T09:39:34.000Z
Layout,QuickText-Quick Text Layout,,2025-04-09T09:39:34.000Z
Layout,AuthorizationFormDataUse-Authorization Form Data Use Layout,,2025-04-09T09:44:18.000Z
Layout,TimeSlot-Time Slot Layout,,2025-04-09T09:39:34.000Z
Layout,EngagementChannelType-Engagement Channel Type Layout,,2025-04-09T09:39:34.000Z
Layout,CartTax-Cart Tax Layout,,2025-04-09T09:39:34.000Z
Layout,CampaignMember-Campaign Member Page Layout,,2025-04-09T09:39:34.000Z
Layout,LiveChatTranscriptWaiting-Chat Transcript %28Waiting%29 Layout,,2025-04-09T09:39:34.000Z
Layout,UserProvisioningRequest-User Provisioning Request Layout,,2025-04-09T09:39:34.000Z
Layout,AssetStatePeriod-Asset State Period Layout,,2025-04-09T09:39:34.000Z
Layout,WorkTypeGroup-Work Type Group Layout,,2025-04-09T09:39:34.000Z
Layout,OperatingHours-Operating Hours Layout,,2025-04-09T09:39:34.000Z
Layout,Individual-Individual Layout,,2025-04-09T09:39:34.000Z
Layout,WorkStep-Work Step Layout,,2025-04-09T09:39:34.000Z
Layout,ThreatDetectionFeedback-Threat Detection Feedback Layout,,2025-04-09T09:39:34.000Z
Layout,Contact-Contact %28Sales%29 Layout,,2025-04-09T09:39:34.000Z
Layout,ResourceAbsence-Resource Absence Layout,,2025-04-09T09:39:34.000Z
Layout,Macro-Macro Layout,,2025-04-09T09:39:34.000Z
Layout,AssetActionSource-Asset Action Source Layout,,2025-04-09T09:39:34.000Z
Layout,Contract-Contract Layout,,2025-04-09T09:39:34.000Z
Layout,Shift-Shift Layout,,2025-04-09T09:39:34.000Z
Layout,Contact-Contact %28Support%29 Layout,,2025-04-09T09:39:34.000Z
Layout,Customer-Customer Layout,,2025-04-09T09:39:34.000Z
Layout,Pricebook2-Price Book Layout,,2025-04-09T09:39:34.000Z
Layout,ProductConsumptionSchedule-Product Consumption Schedule Layout,,2025-04-09T09:39:34.000Z
Layout,ContactPointAddress-Contact Point Address Layout,,2025-04-09T09:39:34.000Z
Layout,LiveChatTranscriptActive-Chat Transcript %28In Progress%29 Layout,,2025-04-09T09:39:34.000Z
Layout,Product2-Product Layout,,2025-04-09T09:39:34.000Z
Layout,cdpactvstrgptnr__ActivationPlatformCredential__mdt-ActivationPlatformCredential Layout,cdpactvstrgptnr,2025-04-09T09:55:34.000Z
Layout,ServiceTerritory-Service Territory Layout,,2025-04-09T09:39:34.000Z
Layout,FeedItem-Feed Item Layout,,2025-04-09T09:39:34.000Z
Layout,ReturnOrderLineItem-Return Order Line Item Layout,,2025-04-09T09:39:34.000Z
Layout,ScorecardMetric-Scorecard Metric Layout,,2025-04-09T09:39:34.000Z
Layout,ContactPointTypeConsent-Contact Point Type Consent Layout,,2025-04-09T09:44:18.000Z
Layout,EntityMilestone-Object Milestone Layout,,2025-04-09T09:39:34.000Z
Layout,Account-Account Layout,,2025-04-09T09:39:34.000Z
Layout,CredentialStuffingEventStore-Credential Stuffing Event Store Layout,,2025-04-09T09:39:34.000Z
Layout,PaymentAuthorization-Payment Authorization Layout,,2025-04-09T09:39:34.000Z
Layout,CartValidationOutput-Cart Validation Output Layout,,2025-04-09T09:39:34.000Z
